frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
31,0.081032,2.051105,1.951100,1.866900,1148.000000,643356859.000000,1140539392.000000,252489728.000000,1273778176.000000,0.000800,0.000000,0.000000,0.000000,0.010900,0.000000,0.025700,0.000000,0.000000,0.000000,0.005800,0.000000
32,0.084429,3.432299,3.502000,3.327200,1148.000000,643360096.000000,1140539392.000000,252489728.000000,1273778176.000000,2.893200,0.046800,0.016400,2.772900,0.011400,0.024000,0.010900,0.000600,0.000600,0.016600,0.003600,0.000000
33,0.086221,1.794402,1.801500,1.695300,1148.000000,643360715.000000,1140539392.000000,252489728.000000,1273782272.000000,0.000600,0.000000,0.000000,0.000000,0.011900,0.000000,0.257300,0.000000,0.000000,0.000000,0.003000,0.000000
34,0.087360,1.169296,1.182900,1.090300,1148.000000,643361235.000000,1140539392.000000,252489728.000000,1273782272.000000,0.000700,0.000000,0.000000,0.000000,0.010700,0.000000,0.065000,0.000000,0.000000,0.000000,0.003900,0.000000
35,0.088777,1.336898,1.332800,1.255300,1148.000000,643361275.000000,1140539392.000000,252489728.000000,1273782272.000000,0.000700,0.000000,0.000000,0.000000,0.008500,0.000000,0.147500,0.000000,0.000000,0.000000,0.002800,0.000000
36,0.091141,1.625801,1.612700,1.528600,1148.000000,643360755.000000,1140539392.000000,252489728.000000,1273782272.000000,0.000700,0.000000,0.000000,0.000000,0.007400,0.000000,0.061600,0.000000,0.000000,0.000000,0.005800,0.000000
37,0.091617,1.268304,1.266800,1.177200,1148.000000,643363536.000000,1140539392.000000,252489728.000000,1273782272.000000,0.000700,0.000000,0.000000,0.000000,0.010600,0.000000,0.011800,0.000000,0.000000,0.000000,0.006000,0.000000
38,0.092944,1.357299,1.365800,1.278300,1148.000000,643367515.000000,1140539392.000000,252489728.000000,1273786368.000000,0.000800,0.000000,0.000000,0.000000,0.009800,0.000000,0.061700,0.000000,0.000000,0.000000,0.003000,0.000000
39,0.094331,1.402898,1.402100,1.323300,1148.000000,643364923.000000,1140539392.000000,252489728.000000,1273786368.000000,0.000700,0.000000,0.000000,0.000000,0.007700,0.000000,0.145100,0.000000,0.000000,0.000000,0.002600,0.000000
40,0.096326,1.929804,1.896800,1.811300,1148.000000,643364443.000000,1140539392.000000,252489728.000000,1273786368.000000,0.000500,0.000000,0.000000,0.000000,0.007500,0.000000,0.391500,0.000000,0.000000,0.000000,0.002600,0.000000
41,0.097491,1.212698,1.233800,1.131500,1148.000000,643369067.000000,1140539392.000000,252489728.000000,1273790464.000000,0.000700,0.000000,0.000000,0.000000,0.011100,0.000000,0.161600,0.000000,0.000000,0.000000,0.003500,0.000000
42,0.101179,3.635700,3.605200,3.517400,1148.000000,643375143.000000,1140539392.000000,252489728.000000,1273790464.000000,3.161700,0.051000,0.014300,3.046100,0.007400,0.022400,0.010900,0.000700,0.000700,0.015400,0.002800,0.000000
43,0.102429,1.302402,1.324500,1.216200,1148.000000,643369731.000000,1140539392.000000,252489728.000000,1273790464.000000,0.000600,0.000000,0.000000,0.000000,0.011200,0.000000,0.066400,0.000000,0.000000,0.000000,0.003200,0.000000
44,0.103804,1.339399,1.344900,1.258700,1148.000000,643373859.000000,1140539392.000000,252489728.000000,1273794560.000000,0.000600,0.000000,0.000000,0.000000,0.009000,0.000000,0.116300,0.000000,0.000000,0.000000,0.002500,0.000000
45,0.105392,1.576701,1.557000,1.476300,1148.000000,643374347.000000,1140539392.000000,252489728.000000,1273794560.000000,0.000700,0.000000,0.000000,0.000000,0.008200,0.000000,0.255500,0.000000,0.000000,0.000000,0.005900,0.000000
46,0.106631,1.278897,1.289000,1.197000,1148.000000,643373347.000000,1140539392.000000,252489728.000000,1273794560.000000,0.000700,0.000000,0.000000,0.000000,0.021600,0.000000,0.138500,0.000000,0.000000,0.000000,0.003400,0.000000
47,0.107864,1.249497,1.247600,1.167000,1148.000000,643372947.000000,1140539392.000000,252489728.000000,1273794560.000000,0.000600,0.000000,0.000000,0.000000,0.008700,0.000000,0.102400,0.000000,0.000000,0.000000,0.002800,0.000000
48,0.109192,1.332703,1.335600,1.256000,1148.000000,643372995.000000,1140539392.000000,252489728.000000,1273794560.000000,0.000700,0.000000,0.000000,0.000000,0.008300,0.000000,0.144300,0.000000,0.000000,0.000000,0.002900,0.000000
49,0.110633,1.436097,1.430800,1.353700,1148.000000,643377075.000000,1140539392.000000,252489728.000000,1273798656.000000,0.000700,0.000000,0.000000,0.000000,0.007400,0.000000,0.091400,0.000000,0.000000,0.000000,0.002700,0.000000
50,0.111921,1.288301,1.268700,1.191000,1148.000000,643377115.000000,1140539392.000000,252489728.000000,1273798656.000000,0.000600,0.000000,0.000000,0.000000,0.008300,0.000000,0.065500,0.000000,0.000000,0.000000,0.002500,0.000000
51,0.113220,1.309899,1.320500,1.225200,1148.000000,643381235.000000,1140539392.000000,252489728.000000,1273802752.000000,0.000600,0.000000,0.000000,0.000000,0.008000,0.000000,0.130200,0.000000,0.000000,0.000000,0.002500,0.000000
