frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
88,0.264958,1.764300,1.757600,1.667200,1124.000000,644258168.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.009500,0.000000,0.360900,0.000000,0.000000,0.000000,0.006000,0.000000
89,0.266894,1.881803,1.879400,1.784500,1124.000000,644261440.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.010000,0.000000,0.453100,0.000000,0.000000,0.000000,0.003400,0.000000
90,0.268518,1.687302,1.682500,1.590000,1124.000000,644260232.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.010600,0.000000,0.350100,0.000000,0.000000,0.000000,0.004300,0.000000
91,0.270195,1.653501,1.642800,1.549200,1124.000000,644260232.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.009800,0.000000,0.368800,0.000000,0.000000,0.000000,0.003200,0.000000
92,0.272143,1.924100,1.922800,1.817100,1124.000000,644264360.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000800,0.000000,0.000000,0.000000,0.008900,0.000000,0.437000,0.000000,0.000000,0.000000,0.005500,0.000000
93,0.273824,1.729195,1.736500,1.635500,1124.000000,644264376.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000700,0.000000,0.000000,0.000000,0.011200,0.000000,0.357100,0.000000,0.000000,0.000000,0.003500,0.000000
94,0.277773,3.920706,3.912500,3.817400,1124.000000,644270748.000000,1143881728.000000,251637760.000000,1273438208.000000,3.445200,0.046800,0.016100,3.328200,0.008800,0.020100,0.009400,0.000600,0.000500,0.017600,0.003100,0.000000
95,0.279624,1.702097,1.708500,1.612000,1124.000000,644265328.000000,1143881728.000000,251637760.000000,1273438208.000000,0.000600,0.000000,0.000000,0.000000,0.011100,0.000000,0.336300,0.000000,0.000000,0.000000,0.003100,0.000000
96,0.281262,1.792099,1.783900,1.692700,1124.000000,644267560.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000900,0.000000,0.000000,0.000000,0.008800,0.000000,0.393100,0.000000,0.000000,0.000000,0.005600,0.000000
97,0.282932,1.684503,1.688400,1.596400,1124.000000,644265840.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000700,0.000000,0.000000,0.000000,0.010300,0.000000,0.360300,0.000000,0.000000,0.000000,0.003500,0.000000
98,0.284531,1.596996,1.601000,1.512400,1124.000000,644268656.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000600,0.000000,0.000000,0.000000,0.009200,0.000000,0.323300,0.000000,0.000000,0.000000,0.002900,0.000000
99,0.286769,2.223200,2.145400,2.062800,1124.000000,644267744.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000700,0.000000,0.000000,0.000000,0.008500,0.000000,0.012800,0.000000,0.000000,0.000000,0.002900,0.000000
100,0.288670,1.751205,1.392500,1.294500,1124.000000,644268280.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000700,0.000000,0.000000,0.000000,0.011000,0.000000,0.339700,0.000000,0.000000,0.000000,0.003800,0.000000
101,0.289928,1.409099,1.764700,1.316500,1124.000000,644272400.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000800,0.000000,0.000000,0.000000,0.013900,0.000000,0.370100,0.000000,0.000000,0.000000,0.007300,0.000000
102,0.291771,1.825198,1.827700,1.731000,1124.000000,644272424.000000,1143881728.000000,251637760.000000,1273442304.000000,0.000700,0.000000,0.000000,0.000000,0.010400,0.000000,0.483200,0.000000,0.000000,0.000000,0.003600,0.000000
103,0.295955,4.174702,4.119100,4.024300,1124.000000,644278668.000000,1143881728.000000,251637760.000000,1273442304.000000,3.588700,0.054100,0.017500,3.461200,0.009700,0.020000,0.010300,0.000800,0.000600,0.018200,0.003900,0.000000
