frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
38,0.109212,2.360403,1.943400,1.830400,1124.000000,644348228.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000900,0.000000,0.000000,0.000000,0.010400,0.000000,0.479200,0.000000,0.000000,0.000000,0.004200,0.000000
39,0.110731,1.724802,2.134700,1.611500,1124.000000,644347590.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000900,0.000000,0.000000,0.000000,0.013600,0.000000,0.474000,0.000000,0.000000,0.000000,0.005300,0.000000
40,0.112660,1.962897,1.963000,1.851700,1124.000000,644344550.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.011300,0.000000,0.573300,0.000000,0.000000,0.000000,0.004200,0.000000
41,0.114914,2.225099,2.204200,2.086200,1124.000000,644348670.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000700,0.000000,0.000000,0.000000,0.008800,0.000000,0.571800,0.000000,0.000000,0.000000,0.003900,0.000000
42,0.116646,1.778203,1.773500,1.650000,1124.000000,644348694.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.009900,0.000000,0.413300,0.000000,0.000000,0.000000,0.004200,0.000000
43,0.119961,3.266596,3.256000,3.121800,1124.000000,644354834.000000,1131302912.000000,251641856.000000,1263075328.000000,2.697700,0.044900,0.014200,2.580000,0.010200,0.021000,0.011100,0.000700,0.000400,0.020100,0.003400,0.000000
44,0.121909,1.971003,1.991100,1.855900,1124.000000,644353758.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.013000,0.000000,0.424200,0.000000,0.000000,0.000000,0.003800,0.000000
45,0.123951,2.015901,2.005400,1.891000,1124.000000,644353782.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.011000,0.000000,0.508600,0.000000,0.000000,0.000000,0.004300,0.000000
46,0.126678,2.616100,2.267700,2.146700,1124.000000,644353806.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000900,0.000000,0.000000,0.000000,0.011600,0.000000,0.444600,0.000000,0.000000,0.000000,0.005000,0.000000
47,0.128137,1.479301,1.787500,1.330100,1124.000000,644353758.000000,1131302912.000000,251641856.000000,1263075328.000000,0.000800,0.000000,0.000000,0.000000,0.017100,0.000000,0.437500,0.000000,0.000000,0.000000,0.006700,0.000000
