frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
51,0.132543,1.593899,1.612300,1.505300,1124.000000,642995869.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.337900,0.000000,0.000000,0.000000,0.005300,0.000000
52,0.134035,1.512302,1.517400,1.430300,1124.000000,642994645.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.333700,0.000000,0.000000,0.000000,0.003600,0.000000
53,0.135776,1.705201,1.571500,1.492400,1124.000000,642994669.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.304800,0.000000,0.000000,0.000000,0.002500,0.000000
54,0.137462,1.694799,1.815200,1.602500,1124.000000,642995149.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.395300,0.000000,0.000000,0.000000,0.003600,0.000000
55,0.139008,1.574001,1.581600,1.492600,1124.000000,642998421.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.332000,0.000000,0.000000,0.000000,0.003100,0.000000
56,0.140589,1.577700,1.573200,1.494700,1124.000000,642998445.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.320600,0.000000,0.000000,0.000000,0.002400,0.000000
57,0.144596,3.943502,3.920000,3.832700,1124.000000,643008665.000000,1148928000.000000,252489728.000000,1292619776.000000,3.496100,0.055000,0.018600,3.368100,0.019400,0.009400,0.001100,0.000700,0.018300,0.002800,0.000000
58,0.146381,1.795996,1.796000,1.689600,1124.000000,643003493.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.412700,0.000000,0.000000,0.000000,0.003000,0.000000
59,0.147980,1.624802,1.629800,1.531000,1124.000000,643005709.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.316900,0.000000,0.000000,0.000000,0.004100,0.000000
60,0.149476,1.526403,1.536800,1.447500,1124.000000,643003541.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.341500,0.000000,0.000000,0.000000,0.003600,0.000000
61,0.151221,1.700198,1.685400,1.604800,1124.000000,643002693.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.409100,0.000000,0.000000,0.000000,0.002700,0.000000
62,0.152983,1.776601,1.763800,1.672400,1124.000000,643002717.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.421700,0.000000,0.000000,0.000000,0.004600,0.000000
63,0.154510,1.560700,1.573500,1.474400,1124.000000,643007269.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.321100,0.000000,0.000000,0.000000,0.003500,0.000000
64,0.156322,1.792800,1.785400,1.697500,1124.000000,643006861.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.345600,0.000000,0.000000,0.000000,0.002500,0.000000
65,0.158037,1.730400,1.733800,1.644800,1124.000000,643006885.000000,1148928000.000000,252489728.000000,1292619776.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.358200,0.000000,0.000000,0.000000,0.002800,0.000000
66,0.161702,3.657497,3.652400,3.569000,1124.000000,643012873.000000,1148928000.000000,252489728.000000,1292623872.000000,3.250800,0.043400,0.013300,3.152400,0.015900,0.009000,0.000600,0.000500,0.012200,0.002700,0.000000
67,0.163601,1.851098,1.841600,1.753700,1124.000000,643008317.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000500,0.000000,0.000000,0.000000,0.000000,0.340600,0.000000,0.000000,0.000000,0.002600,0.000000
68,0.166981,3.357405,3.324900,3.227300,1124.000000,643015629.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.023100,0.000000,0.000000,0.000000,0.003700,0.000000
69,0.168493,1.542198,1.521200,1.397400,1124.000000,643015317.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.327800,0.000000,0.000000,0.000000,0.003800,0.000000
70,0.171251,1.478401,1.504900,1.363200,1124.000000,643014837.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.312900,0.000000,0.000000,0.000000,0.004200,0.000000
71,0.173044,2.082795,2.088000,1.978300,1124.000000,643014349.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.017400,0.000000,0.000000,0.000000,0.008100,0.000000
72,0.173675,1.592602,1.577800,1.472800,1124.000000,643014885.000000,1148928000.000000,252489728.000000,1292623872.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.016900,0.000000,0.000000,0.000000,0.005200,0.000000
73,0.177799,3.957299,3.947300,3.803300,1124.000000,643020721.000000,1148928000.000000,252489728.000000,1292623872.000000,3.339000,0.051600,0.019000,3.205500,0.021200,0.009300,0.000600,0.000500,0.021100,0.005000,0.000000
74,0.179721,2.115505,2.095900,1.936300,1124.000000,643019701.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000800,0.000000,0.000000,0.000000,0.000000,0.378900,0.000000,0.000000,0.000000,0.003200,0.000000
75,0.181563,1.845401,1.873200,1.738700,1124.000000,643023533.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.251300,0.000000,0.000000,0.000000,0.004200,0.000000
76,0.183236,1.633298,1.644800,1.541000,1124.000000,643020957.000000,1148928000.000000,252489728.000000,1292627968.000000,0.000700,0.000000,0.000000,0.000000,0.000000,0.324600,0.000000,0.000000,0.000000,0.004000,0.000000
