frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
55,0.054852,0.817304,0.667600,0.597200,1112.000000,843724650.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011600,0.000000,0.000000,0.000000,0.002800,0.000000
56,0.055621,0.853196,0.997200,0.780400,1112.000000,843725130.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.012700,0.000000,0.000000,0.000000,0.005500,0.000000
57,0.057239,1.541199,1.214900,1.050500,1112.000000,843724714.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011900,0.000000,0.000000,0.000000,0.003100,0.000000
58,0.058265,1.081604,1.391400,0.997200,1112.000000,843737978.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.013200,0.000000,0.000000,0.000000,0.004800,0.000000
59,0.059035,0.787096,0.795900,0.712700,1112.000000,843738626.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011800,0.000000,0.000000,0.000000,0.003300,0.000000
60,0.059724,0.696499,0.696000,0.622300,1112.000000,843739514.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.000000,0.000000,0.003100,0.000000
61,0.060395,0.673406,0.672300,0.600800,1112.000000,843738674.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009500,0.000000,0.000000,0.000000,0.003000,0.000000
62,0.061047,0.653897,0.652500,0.582400,1112.000000,843738698.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009900,0.000000,0.000000,0.000000,0.003000,0.000000
63,0.061784,0.729500,0.727400,0.657600,1112.000000,843739146.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.002700,0.000000
64,0.062479,0.699199,0.698400,0.628700,1112.000000,843743282.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.002700,0.000000
65,0.063297,0.770203,0.764600,0.694400,1112.000000,843743018.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009200,0.000000,0.000000,0.000000,0.002700,0.000000
66,0.064147,0.879996,0.872800,0.797800,1112.000000,843743034.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,0.000000,0.000000,0.005700,0.000000
67,0.064929,0.791001,0.790700,0.711700,1112.000000,843743042.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.003000,0.000000
68,0.065844,0.788202,0.789800,0.712200,1112.000000,843759634.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.002900,0.000000
69,0.066893,1.024398,1.018300,0.939500,1112.000000,843746914.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009600,0.000000,0.000000,0.000000,0.003000,0.000000
70,0.067727,0.979705,0.974300,0.895500,1112.000000,843746938.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.010900,0.000000,0.000000,0.000000,0.004600,0.000000
71,0.068423,0.705598,0.712000,0.630900,1112.000000,843751074.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010500,0.000000,0.000000,0.000000,0.003500,0.000000
72,0.069096,0.675298,0.674500,0.601700,1112.000000,843751538.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.002900,0.000000
73,0.070002,0.905704,0.903800,0.832200,1112.000000,843753114.000000,1318204976.000000,234864640.000000,1568686080.000000,0.246400,0.035300,0.010100,0.016700,0.010000,0.017200,0.016300,0.013200,0.003000,0.000000
74,0.071052,1.040696,0.676600,0.605300,1112.000000,843752690.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000,0.002800,0.000000
75,0.071983,0.921202,1.272300,0.837100,1112.000000,843752714.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.011700,0.000000,0.000000,0.000000,0.003200,0.000000
76,0.072789,0.814498,0.818300,0.737800,1112.000000,843753602.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011900,0.000000,0.000000,0.000000,0.003400,0.000000
77,0.073775,0.978600,0.971300,0.893800,1112.000000,843755882.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010500,0.000000,0.000000,0.000000,0.002900,0.000000
78,0.074527,0.765901,0.771000,0.690300,1112.000000,843755466.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011000,0.000000,0.000000,0.000000,0.003300,0.000000
79,0.075294,0.770798,0.769400,0.696600,1112.000000,843755490.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.009600,0.000000,0.000000,0.000000,0.003000,0.000000
80,0.076024,0.701105,0.689900,0.614000,1112.000000,843755954.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.009600,0.000000,0.000000,0.000000,0.002800,0.000000
81,0.076973,0.914194,0.878900,0.796600,1112.000000,843755562.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.003200,0.000000
82,0.077791,0.863506,0.896300,0.786100,1112.000000,843755578.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.013400,0.000000,0.000000,0.000000,0.004100,0.000000
83,0.079053,1.260899,1.026300,0.945500,1112.000000,843759810.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010700,0.000000,0.000000,0.000000,0.003100,0.000000
84,0.079854,0.818098,1.052000,0.743200,1112.000000,843776402.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010900,0.000000,0.000000,0.000000,0.003300,0.000000
85,0.080550,0.697803,0.699900,0.624200,1112.000000,843759458.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.003200,0.000000
86,0.081308,0.760899,0.758700,0.686900,1112.000000,843763578.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.000000,0.000000,0.002800,0.000000
87,0.082036,0.721400,0.715600,0.644000,1112.000000,843763618.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010300,0.000000,0.000000,0.000000,0.002700,0.000000
88,0.082772,0.739300,0.740200,0.663800,1112.000000,843768210.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.002700,0.000000
89,0.083735,0.953897,0.946000,0.872100,1112.000000,843757434.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.000000,0.000000,0.002800,0.000000
90,0.084445,0.716801,0.720100,0.641000,1112.000000,843761802.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011600,0.000000,0.000000,0.000000,0.003300,0.000000
91,0.085175,0.728097,0.725900,0.652800,1112.000000,843762202.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010100,0.000000,0.000000,0.000000,0.003100,0.000000
92,0.085929,0.728104,0.724900,0.651700,1112.000000,843763842.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.003000,0.000000
93,0.087403,1.459502,1.284600,1.204900,1112.000000,843764954.000000,1318204976.000000,234864640.000000,1568686080.000000,0.260800,0.033700,0.008900,0.017900,0.008700,0.017200,0.015700,0.020700,0.003700,0.000000
94,0.088403,1.025198,1.188500,0.944400,1112.000000,843765162.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.012300,0.000000,0.000000,0.000000,0.003900,0.000000
95,0.089262,0.827601,0.833100,0.750700,1112.000000,843766074.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.012600,0.000000,0.000000,0.000000,0.003600,0.000000
96,0.090516,1.198795,1.049600,0.972300,1112.000000,843771082.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,0.000000,0.005300,0.000000
97,0.091519,1.090901,1.230200,1.008300,1112.000000,843769130.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000700,0.000000,0.000000,0.000000,0.020900,0.000000,0.000000,0.000000,0.004600,0.000000
98,0.092303,0.795103,0.796700,0.716200,1112.000000,843769674.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010600,0.000000,0.000000,0.000000,0.003300,0.000000
99,0.093034,0.734595,0.736700,0.658400,1112.000000,843769978.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.009700,0.000000,0.000000,0.000000,0.003000,0.000000
100,0.093948,0.887705,0.864400,0.791700,1112.000000,843790410.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.003000,0.000000
101,0.095300,1.373299,0.934400,0.843300,1112.000000,843773482.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010500,0.000000,0.000000,0.000000,0.003500,0.000000
102,0.096261,0.948696,1.378100,0.846100,1112.000000,843773618.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.003100,0.000000
103,0.097590,1.326800,1.083200,0.983100,1112.000000,843781850.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.003600,0.000000
104,0.098399,0.821606,1.084400,0.746400,1112.000000,843782850.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011500,0.000000,0.000000,0.000000,0.003300,0.000000
105,0.099119,0.725099,0.726200,0.647500,1112.000000,843782026.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.000000,0.000000,0.003300,0.000000
106,0.099938,0.814201,0.756600,0.684000,1112.000000,843782050.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.010600,0.000000,0.000000,0.000000,0.002900,0.000000
107,0.100677,0.748200,0.801200,0.674000,1112.000000,843782498.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000600,0.000000,0.000000,0.000000,0.011700,0.000000,0.000000,0.000000,0.003400,0.000000
108,0.101445,0.753897,0.748700,0.674200,1112.000000,843782946.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.024500,0.000000,0.000000,0.000000,0.003000,0.000000
109,0.102253,0.810296,0.807900,0.730600,1112.000000,843786218.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010200,0.000000,0.000000,0.000000,0.003200,0.000000
110,0.103190,0.930605,0.762500,0.684000,1112.000000,843786242.000000,1318204976.000000,234864640.000000,1568686080.000000,0.000500,0.000000,0.000000,0.000000,0.010400,0.000000,0.000000,0.000000,0.003500,0.000000
