frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,gc_used_memory_bytes,system_used_memory_bytes,render_thread_ms,draw_calls_count,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
27,0.025478,1.368899,1.348600,1.280300,1356.000000,920332406.000000,1396318376.000000,257409024.000000,238166016.000000,1618264064.000000,0.000000,0.000000,0.475900,0.030500,0.007400,0.140200,0.006400,0.015700,0.012800,0.008500,0.015000,0.040600,0.000200,0.001100,0.002300,0.004200,0.000000
28,0.026280,0.837004,0.848100,0.767300,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618264064.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008900,0.000000,0.007500,0.000000,0.000000,0.000000,0.000300,0.001000,0.002900,0.004500,0.000000
29,0.026883,0.617198,0.620000,0.554000,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618268160.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007900,0.000000,0.007400,0.000000,0.000000,0.000000,0.000300,0.001000,0.002600,0.004100,0.000000
30,0.027464,0.586501,0.588100,0.526500,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618272256.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006700,0.000000,0.007300,0.000000,0.000000,0.000000,0.000200,0.001000,0.002300,0.003900,0.000000
31,0.028026,0.564697,0.564400,0.506400,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618272256.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006600,0.000000,0.007200,0.000000,0.000000,0.000000,0.000200,0.000900,0.002200,0.003900,0.000000
32,0.028624,0.568403,0.562700,0.506100,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618276352.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006200,0.000000,0.007000,0.000000,0.000000,0.000000,0.000200,0.001000,0.002100,0.003900,0.000000
33,0.029195,0.606002,0.607800,0.547000,1356.000000,920337166.000000,1396318376.000000,257409024.000000,238170112.000000,1618276352.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006400,0.000000,0.007000,0.000000,0.000000,0.000000,0.000200,0.001000,0.002100,0.003800,0.000000
34,0.030051,0.756399,0.747200,0.688700,1356.000000,920337198.000000,1396318376.000000,257409024.000000,238170112.000000,1618276352.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006400,0.000000,0.006900,0.000000,0.000000,0.000000,0.000200,0.001000,0.001900,0.003700,0.000000
35,0.031289,1.283298,1.233000,1.158600,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618276352.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.007400,0.000000,0.014000,0.000000,0.000000,0.000000,0.000700,0.002900,0.027400,0.007000,0.000000
36,0.032224,0.967099,1.011100,0.897700,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618276352.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.009200,0.000000,0.014600,0.000000,0.000000,0.000000,0.000400,0.001100,0.002600,0.004300,0.000000
37,0.033066,0.853104,0.855800,0.788900,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618280448.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007800,0.000000,0.010200,0.000000,0.000000,0.000000,0.000400,0.001000,0.002600,0.004000,0.000000
38,0.033970,0.899001,0.897000,0.834700,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618280448.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.006600,0.000000,0.014100,0.000000,0.000000,0.000000,0.000300,0.001000,0.002300,0.004000,0.000000
39,0.034922,0.943594,0.938300,0.872300,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.014600,0.000000,0.000000,0.000000,0.000200,0.001000,0.002400,0.003900,0.000000
40,0.036041,1.080300,1.063600,0.992800,1356.000000,920346190.000000,1396318376.000000,257409024.000000,238178304.000000,1618280448.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007200,0.000000,0.013300,0.000000,0.000000,0.000000,0.000300,0.003300,0.002900,0.004400,0.000000
41,0.036966,0.964101,0.978100,0.898000,1356.000000,920354382.000000,1396318376.000000,257409024.000000,238186496.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006500,0.000000,0.014800,0.000000,0.000000,0.000000,0.000500,0.001100,0.003500,0.004900,0.000000
42,0.037813,0.856200,0.858600,0.794600,1356.000000,920354398.000000,1396318376.000000,257409024.000000,238186496.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007400,0.000000,0.013500,0.000000,0.000000,0.000000,0.000400,0.001200,0.002600,0.004000,0.000000
43,0.038660,0.843304,0.837500,0.776400,1356.000000,920354398.000000,1396318376.000000,257409024.000000,238186496.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.012900,0.000000,0.000000,0.000000,0.000400,0.001000,0.002500,0.004200,0.000000
44,0.039564,0.825099,0.822100,0.758500,1356.000000,920354398.000000,1396318376.000000,257409024.000000,238186496.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007600,0.000000,0.011400,0.000000,0.000000,0.000000,0.000400,0.001100,0.002400,0.004200,0.000000
45,0.040674,1.157100,1.138800,1.067000,1356.000000,920358494.000000,1396318376.000000,257409024.000000,238190592.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.010700,0.000000,0.000000,0.000000,0.000600,0.001000,0.004100,0.005100,0.000000
46,0.042101,1.427296,1.392800,1.309600,1356.000000,920358766.000000,1396318376.000000,257409024.000000,238190592.000000,1618280448.000000,0.000000,0.000000,0.440500,0.040600,0.005800,0.116400,0.008600,0.015600,0.015500,0.008200,0.014400,0.008400,0.000500,0.001300,0.003100,0.006000,0.000000
47,0.042952,0.881101,0.927100,0.814100,1356.000000,920359430.000000,1396318376.000000,257409024.000000,238190592.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008900,0.000000,0.010800,0.000000,0.000000,0.000000,0.000400,0.001500,0.002600,0.004700,0.000000
48,0.043831,0.862904,0.862100,0.795600,1356.000000,920363526.000000,1396318376.000000,257409024.000000,238194688.000000,1618280448.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007200,0.000000,0.013500,0.000000,0.000000,0.000000,0.000300,0.001100,0.002400,0.004400,0.000000
49,0.044699,0.883999,0.828100,0.762600,1356.000000,920363526.000000,1396318376.000000,257409024.000000,238194688.000000,1618284544.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.010900,0.000000,0.000000,0.000000,0.000200,0.001000,0.002500,0.004100,0.000000
50,0.045976,1.201594,1.068000,0.944600,1356.000000,920363582.000000,1396318376.000000,257409024.000000,238194688.000000,1618288640.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006900,0.000000,0.008700,0.000000,0.000000,0.000000,0.000300,0.001000,0.002500,0.004000,0.000000
51,0.046874,0.965200,1.107100,0.856300,1356.000000,920363582.000000,1396318376.000000,257409024.000000,238194688.000000,1618288640.000000,0.000000,0.000000,0.000500,0.000000,0.000000,0.000000,0.008900,0.000000,0.008400,0.000000,0.000000,0.000000,0.000700,0.001300,0.003800,0.005500,0.000000
52,0.047546,0.688102,0.728900,0.660800,1356.000000,920363582.000000,1396318376.000000,257409024.000000,238194688.000000,1618288640.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007600,0.000000,0.007400,0.000000,0.000000,0.000000,0.000200,0.001100,0.002600,0.004200,0.000000
53,0.048193,0.637904,0.638300,0.574100,1356.000000,920363582.000000,1396318376.000000,257409024.000000,238194688.000000,1618288640.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006900,0.000000,0.007500,0.000000,0.000000,0.000000,0.000200,0.001000,0.002400,0.004100,0.000000
54,0.048860,0.674497,0.671300,0.566400,1356.000000,920367678.000000,1396318376.000000,257409024.000000,238198784.000000,1618288640.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007400,0.000000,0.007700,0.000000,0.000000,0.000000,0.000400,0.001100,0.002500,0.004100,0.000000
55,0.049798,0.886699,0.845200,0.756700,1356.000000,920367702.000000,1396318376.000000,257409024.000000,238198784.000000,1618292736.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.006900,0.000000,0.007700,0.000000,0.000000,0.000000,0.000400,0.000900,0.002600,0.004000,0.000000
56,0.050948,1.069097,1.068300,0.959900,1356.000000,920371798.000000,1396318376.000000,257409024.000000,238202880.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007400,0.000000,0.007700,0.000000,0.000000,0.000000,0.000400,0.001000,0.037200,0.005300,0.000000
57,0.051685,0.853501,0.883900,0.784400,1356.000000,920371798.000000,1396318376.000000,257409024.000000,238202880.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.009000,0.000000,0.008500,0.000000,0.000000,0.000000,0.000400,0.001100,0.003000,0.005300,0.000000
58,0.052391,0.717205,0.720000,0.650200,1356.000000,920375894.000000,1396318376.000000,257409024.000000,238206976.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007600,0.000000,0.007900,0.000000,0.000000,0.000000,0.000300,0.001100,0.002700,0.004200,0.000000
59,0.053015,0.621499,0.620800,0.555900,1356.000000,920375894.000000,1396318376.000000,257409024.000000,238206976.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007200,0.000000,0.007700,0.000000,0.000000,0.000000,0.000300,0.001000,0.002500,0.004100,0.000000
60,0.053669,0.657100,0.644300,0.580400,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.007700,0.000000,0.000000,0.000000,0.000200,0.000900,0.002600,0.004300,0.000000
61,0.054303,0.636295,0.644400,0.570800,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007500,0.000000,0.007700,0.000000,0.000000,0.000000,0.000400,0.001100,0.002700,0.004100,0.000000
62,0.055017,0.702105,0.699800,0.635000,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.007500,0.000000,0.000000,0.000000,0.000200,0.001000,0.002500,0.004100,0.000000
63,0.055888,0.788797,0.782800,0.716300,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000300,0.000000,0.000000,0.000000,0.007100,0.000000,0.007500,0.000000,0.000000,0.000000,0.000200,0.001100,0.002700,0.004500,0.000000
64,0.056543,0.744204,0.744100,0.675100,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007300,0.000000,0.007800,0.000000,0.000000,0.000000,0.000300,0.001100,0.003200,0.004800,0.000000
65,0.057164,0.627197,0.630400,0.563200,1356.000000,920379990.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.007100,0.000000,0.007400,0.000000,0.000000,0.000000,0.000200,0.001000,0.002500,0.003900,0.000000
66,0.058302,1.122201,1.116000,1.053700,1356.000000,920380118.000000,1396318376.000000,257409024.000000,238211072.000000,1618296832.000000,0.000000,0.000000,0.482300,0.030800,0.007500,0.161300,0.007000,0.016700,0.009100,0.009100,0.015100,0.016300,0.000200,0.001100,0.002600,0.004500,0.000000
67,0.058910,0.624603,0.627900,0.561700,1356.000000,920384142.000000,1396318376.000000,257409024.000000,238215168.000000,1618296832.000000,0.000000,0.000000,0.000400,0.000000,0.000000,0.000000,0.008100,0.000000,0.007800,0.000000,0.000000,0.000000,0.000300,0.001100,0.002500,0.004000,0.000000
