frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,belt_item_position_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,wait_for_job_group_ms
16,6.580210,394.271910,394.905700,389.366400,13384942.000000,1291657351.000000,1758644528.000000,288219136.000000,1932935168.000000,382.499300,374.164400,0.261900,0.303100,0.011600,7.017000,0.459300,0.005400,0.000000
17,6.984973,404.762089,404.759300,400.312200,13384094.000000,1305825551.000000,1758644528.000000,288219136.000000,1932988416.000000,393.685000,389.511600,0.578400,0.284600,0.008700,2.603800,0.458500,0.005300,0.000000
18,7.357056,372.060686,371.781800,366.018500,13383198.000000,1269890309.000000,1758562608.000000,288219136.000000,1933033472.000000,357.531700,352.283700,0.150900,0.280100,0.008900,3.469900,0.439900,0.005000,0.000000
19,7.778632,421.556294,420.711000,413.406600,13384094.000000,1284040309.000000,1758562608.000000,288219136.000000,1933078528.000000,402.680900,399.360200,0.094500,0.276500,0.009200,2.245100,0.445200,0.005900,0.000000
20,8.167072,388.399214,388.770700,382.913000,13384942.000000,1298290951.000000,1758644528.000000,288219136.000000,1933205504.000000,375.926700,369.367200,0.801000,0.289700,0.588300,2.737800,0.423900,0.006400,0.000000
21,8.525883,358.859599,358.878500,354.208800,13384302.000000,1312454695.000000,1758644528.000000,288219136.000000,1933213696.000000,346.513200,342.542100,0.098300,1.009700,0.010300,0.901800,0.410600,0.006100,0.000000
22,8.923665,397.805691,396.869300,390.829800,13384686.000000,1276681869.000000,1758562608.000000,288219136.000000,1933193216.000000,382.659600,380.060800,0.754200,0.287900,0.009600,0.826300,0.472300,0.005300,0.000000
23,9.325847,402.147710,403.027600,396.233900,13384942.000000,1290850237.000000,1758562608.000000,288219136.000000,1933328384.000000,387.614600,379.217400,0.256100,0.319400,0.010400,4.380100,0.466700,0.005400,0.000000
24,9.706748,380.925715,381.661400,376.257200,13384814.000000,1305111299.000000,1758644528.000000,288219136.000000,1933398016.000000,369.193900,366.208200,0.104300,0.295400,0.010500,1.886300,0.453800,0.006100,0.000000
25,10.066522,359.754890,355.799400,351.026300,13383326.000000,1319260384.000000,1758644528.000000,288219136.000000,1933430784.000000,344.380900,338.371000,0.126900,0.769300,0.563000,3.886600,0.433500,0.005600,0.000000
